"경기","철산동","2020-07-20 01:00","0.002","0.5","0.02","0.006","7.0","4.0"
"경기","소하동","2020-07-20 01:00","0.001","0.4","0.02","0.006","-1.0","13.0"
"경기","고잔동","2020-07-20 01:00","0.002","0.2","0.015","0.007","18.0","15.0"
"경기","원시동","2020-07-20 01:00","0.002","0.1","0.018","0.006","22.0","3.0"
"경기","본오동","2020-07-20 01:00","0.002","0.2","0.019","0.01","10.0","8.0"
"경기","부곡동1","2020-07-20 01:00","0.004","0.2","0.018","0.005","18.0","4.0"
"경기","대부동","2020-07-20 01:00","0.002","0.2","0.023","0.004","17.0","5.0"
"경기","호수동","2020-07-20 01:00","0.002","0.2","0.015","0.017","16.0","6.0"
"경기","중앙대로(고잔동)","2020-07-20 01:00","0.002","0.3","-1.0","0.008","23.0","10.0"
"경기","별양동","2020-07-20 01:00","0.002","0.3","0.024","0.005","26.0","8.0"
"경기","과천동","2020-07-20 01:00","0.002","0.3","0.025","0.004","21.0","7.0"
"경기","교문동","2020-07-20 01:00","0.003","0.3","0.023","0.004","16.0","13.0"
"경기","동구동","2020-07-20 01:00","0.002","0.3","0.021","0.011","17.0","10.0"
"경기","부곡3동","2020-07-20 01:00","0.002","0.4","0.023","0.004","24.0","11.0"
"경기","고천동","2020-07-20 01:00","0.002","0.4","0.02","0.004","17.0","12.0"
"경기","정왕동","2020-07-20 01:00","0.003","0.4","0.018","0.008","19.0","6.0"
"경기","시화산단","2020-07-20 01:00","0.004","0.4","0.015","0.016","31.0","13.0"
"경기","대야동","2020-07-20 01:00","0.003","0.4","0.021","0.008","26.0","15.0"
"경기","목감동","2020-07-20 01:00","0.004","0.3","0.021","0.006","24.0","12.0"
"경기","장현동","2020-07-20 01:00","0.003","0.2","0.022","0.005","18.0","-1.0"
"경기","금곡동","2020-07-20 01:00","0.002","0.4","0.022","0.003","20.0","3.0"
"경기","오남읍","2020-07-20 01:00","-1.0","0.4","0.026","0.004","14.0","11.0"
"경기","별내동","2020-07-20 01:00","-1.0","0.2","0.024","0.006","15.0","10.0"
"경기","화도읍","2020-07-20 01:00","-1.0","0.3","0.024","0.006","22.0","8.0"
"경기","경춘로","2020-07-20 01:00","0.002","0.4","0.02","0.006","28.0","19.0"
"경기","비전동","2020-07-20 01:00","0.003","0.2","0.022","0.004","25.0","11.0"
"경기","안중","2020-07-20 01:00","0.003","0.2","0.029","0.002","22.0","11.0"
"경기","평택항","2020-07-20 01:00","0.003","0.2","0.025","0.004","28.0","11.0"
"경기","송북동","2020-07-20 01:00","0.005","0.3","0.023","0.003","15.0","5.0"
"경기","청북읍","2020-07-20 01:00","0.004","0.3","0.022","0.005","20.0","14.0"
"경기","금촌동","2020-07-20 01:00","0.002","0.5","0.018","0.007","21.0","5.0"
"경기","운정","2020-07-20 01:00","0.002","0.4","0.019","0.008","19.0","15.0"
"경기","파주","2020-07-20 01:00","0.001","0.2","0.018","0.005","14.0","13.0"
"경기","파주읍","2020-07-20 01:00","0.001","0.3","0.024","0.004","7.0","-1.0"
"경기","행신동","2020-07-20 01:00","0.003","0.4","0.017","0.011","25.0","11.0"
"경기","식사동","2020-07-20 01:00","0.002","0.3","0.025","0.009","35.0","8.0"
"경기","백마로(마두역)","2020-07-20 01:00","0.002","0.4","0.02","0.013","24.0","8.0"
"경기","신원동","2020-07-20 01:00","0.002","0.2","0.027","0.006","16.0","10.0"
"경기","주엽동","2020-07-20 01:00","0.002","0.3","0.022","0.007","19.0","18.0"
"경기","경안동","2020-07-20 01:00","-1.0","0.3","0.021","0.006","16.0","9.0"
"경기","오포읍","2020-07-20 01:00","0.002","0.2","0.023","0.003","28.0","18.0"
"경기","김량장동","2020-07-20 01:00","0.002","0.3","0.022","0.008","6.0","-1.0"
"경기","수지","2020-07-20 01:00","0.001","0.4","0.017","0.007","17.0","8.0"
"경기","기흥","2020-07-20 01:00","0.002","0.4","0.022","0.004","19.0","12.0"
"경기","중부대로(구갈동)","2020-07-20 01:00","0.002","0.2","-1.0","0.005","22.0","14.0"
"경기","모현읍","2020-07-20 01:00","0.002","0.3","0.026","0.003","18.0","2.0"
"경기","이동읍","2020-07-20 01:00","0.002","0.1","0.02","0.004","17.0","7.0"
"경기","백암면","2020-07-20 01:00","0.001","0.4","0.015","0.006","20.0","14.0"
"경기","설성면","2020-07-20 01:00","0.001","0.2","0.024","0.004","23.0","9.0"
"경기","창전동","2020-07-20 01:00","0.004","0.4","0.019","0.006","23.0","12.0"
"경기","장호원읍","2020-07-20 01:00","0.003","0.2","0.026","0.002","13.0","-1.0"
"경기","부발읍","2020-07-20 01:00","0.004","0.4","0.014","0.011","28.0","19.0"
"경기","관인면","2020-07-20 01:00","0.001","0.2","0.027","0.001","14.0","10.0"
"경기","선단동","2020-07-20 01:00","0.001","0.3","0.02","0.003","21.0","6.0"
"경기","일동면","2020-07-20 01:00","0.003","0.2","0.027","0.002","19.0","10.0"
"경기","사우동","2020-07-20 01:00","0.004","0.3","0.018","0.006","21.0","16.0"
"경기","고촌읍","2020-07-20 01:00","0.004","0.3","0.016","0.011","17.0","10.0"
"경기","월곶면","2020-07-20 01:00","0.003","0.3","0.021","0.011","24.0","12.0"
"경기","한강신도시","2020-07-20 01:00","0.003","0.3","0.02","0.007","27.0","9.0"
"경기","한강로","2020-07-20 01:00","0.003","0.3","0.02","0.008","19.0","13.0"
"경기","당동","2020-07-20 01:00","0.003","0.3","0.022","0.008","18.0","14.0"
"경기","산본동","2020-07-20 01:00","0.002","0.3","0.02","0.006","20.0","10.0"
"경기","오산동","2020-07-20 01:00","0.002","0.2","0.013","0.008","13.0","3.0"
"경기","금암로(신장동)","2020-07-20 01:00","0.002","0.2","0.017","0.008","12.0","10.0"
"경기","신장동","2020-07-20 01:00","0.001","0.3","0.021","0.003","17.0","6.0"
"경기","남양읍","2020-07-20 01:00","0.003","0.2","0.023","0.006","18.0","6.0"
"경기","향남읍","2020-07-20 01:00","0.009","0.2","0.023","0.006","19.0","8.0"
"경기","동탄","2020-07-20 01:00","0.003","0.4","0.024","0.005","16.0","7.0"
"경기","우정읍","2020-07-20 01:00","0.002","0.2","0.027","0.0","19.0","12.0"
"경기","청계동","2020-07-20 01:00","0.003","0.3","0.026","0.003","18.0","13.0"
"경기","새솔동","2020-07-20 01:00","0.003","0.4","0.018","0.005","19.0","6.0"
"경기","봉담읍","2020-07-20 01:00","0.003","0.3","0.022","0.004","14.0","10.0"
"경기","서신면","2020-07-20 01:00","0.003","0.2","0.025","0.003","22.0","7.0"
"경기","백석읍","2020-07-20 01:00","0.002","0.3","0.023","0.007","22.0","11.0"
"경기","고읍","2020-07-20 01:00","0.002","0.2","0.026","0.004","14.0","-1.0"
"경기","보산동","2020-07-20 01:00","0.004","0.2","0.024","0.003","15.0","9.0"
"경기","봉산동","2020-07-20 01:00","0.002","0.4","0.023","0.002","6.0","2.0"
"경기","공도읍","2020-07-20 01:00","0.001","0.3","0.024","0.002","34.0","6.0"
"인천","신흥","2020-07-20 01:00","0.003","0.3","0.014","0.008","10.0","8.0"
"인천","서해","2020-07-20 01:00","0.002","0.4","0.017","0.006","17.0","6.0"
